Major,Average Debt,Earnings,Average Best Value Score,Good Investment
Biomedical/Medical Engineering.,20547.983333333334,56106.666666666664,2.7755728782367486,True
Mechanical Engineering Related Technologies/Technicians.,24981.86842105263,55981.57894736842,2.265542547090418,True
Engineering-Related Fields.,23369.9375,57187.5,2.4698330301016287,True
"Romance Languages, Literatures, and Linguistics.",20648.62676056338,30594.3661971831,1.51266791527633,True
"Foods, Nutrition, and Related Services.",22256.09375,29653.125,1.385929951543338,False
Non-Professional General Legal Studies (Undergraduate).,23705.3,36575.0,1.6482881370905638,True
Rhetoric and Composition/Writing Studies.,22592.309523809523,27919.04761904762,1.2973048225513448,False
"Biochemistry, Biophysics and Molecular Biology.",20332.365079365078,32566.666666666668,1.6558830497592472,True
International/Global Studies.,19904.233333333334,29143.333333333332,1.5134212322824538,True
"Multi/Interdisciplinary Studies, Other.",22616.3046875,35252.34375,1.693237329003622,True
Philosophy.,19961.57894736842,28626.315789473683,1.470685281100676,False
Physical Sciences.,26345.0,33600.0,1.2988519076887397,False
Chemistry.,21340.467289719625,35457.943925233645,1.6914508906614885,True
Physics.,19982.115384615383,39423.07692307692,1.97861958008045,True
"Science Technologies/Technicians, Other.",23692.5,51750.0,2.1768055568816536,True
Public Policy Analysis.,18408.714285714286,40085.71428571428,2.4607114054254553,True
Anthropology.,21784.686440677968,24183.898305084746,1.1737740284642604,False
Economics.,20053.602459016394,46689.75409836065,2.4075631863775073,True
Geography and Cartography.,22375.01694915254,32220.338983050846,1.483939542554337,False
Air Transportation.,22849.214285714286,40057.142857142855,1.7707729749422503,True
"Visual and Performing Arts, General.",23661.28125,24203.125,1.0662621049651448,False
Dance.,22962.136363636364,20700.0,0.8673777420364012,False
Film/Video and Photographic Arts.,22395.287234042553,22813.82978723404,1.0267816898412288,False
Music.,23107.468253968254,26121.428571428572,1.1041194531244736,False
Construction Management.,23309.774193548386,61248.3870967742,2.6918418715585126,True
"Business, Management, Marketing, and Related Support Services, Other.",23244.619047619046,43300.0,1.9507663318946291,True
"Education, General.",24166.833333333332,31380.555555555555,1.3014922483371472,False
Public Health.,21920.447916666668,32229.166666666668,1.5377823267032131,True
Data Processing.,29075.0,33700.0,1.2624559826178168,False
Criminology.,23275.22077922078,31746.753246753247,1.422891663590676,False
Clinical/Medical Laboratory Science/Research and Allied Professions.,22972.333333333332,53666.666666666664,2.5967208047078167,True
Mental and Social Health Services and Allied Professions.,25580.954545454544,31190.909090909092,1.2895763567702168,False
Bible/Biblical Studies.,23476.36842105263,27694.736842105263,1.2452326196176564,False
Religious Education.,25689.625,26387.5,1.0164594614100029,False
Intercultural/Multicultural and Diversity Studies.,23480.0,20400.0,0.8774193548387097,False
Religion/Religious Studies.,25591.545454545456,27609.090909090908,1.0777138438386955,False
"Communication, Journalism, and Related Programs, Other.",21757.454545454544,32900.0,1.4624036213776528,False
Food Science and Technology.,20840.57894736842,40410.52631578947,1.8725697354490378,True
Natural Resources Management and Policy.,22144.4375,30325.0,1.4064319320615375,False
Forestry.,21824.0,37300.0,1.7706429147669436,True
Environmental/Environmental Health Engineering.,21888.380952380954,51438.09523809524,2.371069482247596,True
Construction Engineering Technologies.,23084.172413793105,61262.06896551724,2.9374964877768264,True
"Parks, Recreation and Leisure Facilities Management.",22908.219512195123,29592.682926829268,1.3453991655334574,False
"Social Sciences, Other.",20711.666666666668,31938.095238095237,1.6344567621286132,True
Research and Experimental Psychology.,22235.84375,29571.875,1.3741014360289137,False
Entrepreneurial and Small Business Operations.,21071.69230769231,39000.0,1.8817970812884544,True
Manufacturing Engineering.,23171.5,62383.333333333336,2.813230054003995,True
"Engineering Technology, General.",23901.863636363636,55004.545454545456,2.438820740162102,True
Electrical Engineering Technologies/Technicians.,25466.55,57460.0,2.3640399919262842,True
Biotechnology.,20550.25,37300.0,2.065559095838599,True
"Ecology, Evolution, Systematics, and Population Biology.",21322.973684210527,23305.263157894737,1.071559698489277,False
Area Studies.,18410.166666666668,31850.0,1.8416946447893952,True
"Engineering, Other.",23863.0,61220.0,2.651161924816516,True
"Physiology, Pathology and Related Sciences.",20063.454545454544,26459.090909090908,1.3226251332144683,False
Industrial Production Technologies/Technicians.,24150.451612903227,50838.709677419356,2.1325943840539514,True
Cell/Cellular Biology and Anatomical Sciences.,18852.458333333332,30550.0,1.7225746487241531,True
"Linguistic, Comparative, and Related Language Studies and Services.",20326.106382978724,25563.82978723404,1.3063273641441595,False
"Clinical, Counseling and Applied Psychology.",22655.925925925927,29085.185185185186,1.40337504394727,False
Operations Research.,14636.333333333334,64933.333333333336,4.616677890011224,True
Urban Studies/Affairs.,19811.18181818182,34790.90909090909,1.8928020775181844,True
Interior Architecture.,23482.0,39400.0,1.7069878320741434,True
Construction Engineering.,26552.833333333332,66566.66666666667,2.542921241714388,True
Gerontology.,24576.0,32533.333333333332,1.344280311139656,False
Geological and Earth Sciences/Geosciences.,23048.28813559322,33635.59322033898,1.5082391738950731,True
Applied Mathematics.,19554.2,50165.0,2.7102746690169113,True
Statistics.,18371.05,51315.0,2.9317391265521824,True
Peace Studies and Conflict Resolution.,15940.666666666666,40433.333333333336,2.8965348767670847,True
Nutrition Sciences.,20628.791666666668,29512.5,1.44372244487994,False
Cognitive Science.,18068.428571428572,34071.42857142857,1.9655887073591516,True
Agricultural Production Operations.,21690.9,31720.0,1.5003381757878649,True
"Natural Resources and Conservation, Other.",19630.0,22000.0,1.1459378733572283,False
"East Asian Languages, Literatures, and Linguistics.",20172.8,24833.333333333332,1.386062110576614,False
Genetics.,21046.333333333332,31166.666666666668,1.5193059006961935,True
Pharmacology and Toxicology.,13759.0,33600.0,2.535849056603773,True
Neurobiology and Neurosciences.,19984.0,31102.380952380954,1.6397061763712828,True
"Psychology, Other.",19050.5,31475.0,1.8882151236997342,True
"Pharmacy, Pharmaceutical Sciences, and Administration.",21422.5,43330.0,2.4436880671085492,True
Human Biology.,16986.833333333332,30133.333333333332,1.876506123269899,True
"English Language and Literature/Letters, Other.",20240.666666666668,24066.666666666668,1.2929876543209877,False
"Biomathematics, Bioinformatics, and Computational Biology.",17392.0,67800.0,3.8119869560328343,True
Zoology/Animal Biology.,21749.354838709678,23190.322580645163,1.105090412448199,False
Computer/Information Technology Administration and Management.,24744.391304347828,56439.13043478261,2.2677666770412523,True
Community Organization and Advocacy.,23458.666666666668,34000.0,1.6195382047130646,True
Business/Corporate Communications.,22577.25,36868.75,1.673661341032217,True
Wildlife and Wildlands Science and Management.,22397.17391304348,24326.08695652174,1.1054793854227623,False
Pastoral Counseling and Specialized Ministries.,23127.8,24950.0,1.1212222355579105,False
Computer Software and Media Applications.,21695.875,41225.0,2.0363369326592093,True
Dental Support Services and Allied Professions.,21980.837837837837,53940.54054054054,2.506338135807973,True
Environmental Design.,22496.5,42100.0,1.7189560439560438,True
Biochemical Engineering.,20253.0,56800.0,2.5244444444444443,True
Astronomy and Astrophysics.,22344.0,27700.0,1.4183307731694828,False
Engineering Physics.,18338.75,59675.0,4.914631021550996,True
Metallurgical Engineering.,21653.5,68650.0,3.4172013685724205,True
Mining and Mineral Engineering.,23287.0,67880.0,2.741060393192299,True
Petroleum Engineering.,24303.42105263158,66442.1052631579,2.787519380187181,True
Geological/Geophysical Engineering.,21806.0,55400.0,2.2786783247798263,True
Agricultural and Domestic Animal Services.,23662.75,20950.0,0.8667808373018717,False
Soil Sciences.,20024.75,38775.0,1.9437867203244306,True
Behavioral Sciences.,23674.2,30000.0,1.2637331331633044,False
"Human Services, General.",26027.324324324323,30335.135135135137,1.2359543334168268,False
Alternative and Complementary Medicine and Medical Systems.,23990.0,24900.0,1.1053893278877742,False
Sustainability Studies.,22674.666666666668,34800.0,1.6887796068705336,True
Allied Health and Medical Assisting Services.,23398.5,29975.0,1.286840903053367,False
Architectural Engineering Technologies/Technicians.,24314.4,52380.0,2.1316388237102926,True
Fire Protection.,23348.8,48100.0,2.196138801791401,True
"Legal Professions and Studies, Other.",23529.0,39666.666666666664,1.5512046589390855,True
"Agriculture, General.",21117.347826086956,33743.47826086957,1.7768172767496007,True
Literature.,22675.14285714286,25657.14285714286,1.0517993216557702,False
American Sign Language.,22266.6,30220.0,1.4199400414644676,False
"Science, Technology and Society.",19332.5,55683.333333333336,3.474870898217509,True
Theological and Ministerial Studies.,23754.76923076923,24784.615384615383,1.0850891263413034,False
Legal Support Services.,25146.222222222223,33300.0,1.3491866924058649,False
Homeland Security.,23526.333333333332,37166.666666666664,1.718848922590907,True
Vehicle Maintenance and Repair Technologies.,26811.25,48525.0,1.8601467857225131,True
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",24093.333333333332,49183.333333333336,2.3568829998997347,True
Real Estate.,20116.909090909092,50690.90909090909,2.3455632458279565,True
Insurance.,21289.363636363636,54209.09090909091,2.4897322060372447,True
Systems Engineering.,20801.25,69850.0,3.385094914457041,True
Biological/Biosystems Engineering.,20849.666666666668,44933.333333333336,2.3059899915249464,True
Biological and Physical Sciences.,23776.833333333332,28566.666666666668,1.1635236682595607,False
"Theology and Religious Vocations, Other.",23267.0,32000.0,1.3055895552835577,False
"Agriculture, Agriculture Operations, and Related Sciences, Other.",21233.333333333332,44333.333333333336,2.001015340470147,True
Nuclear Engineering.,23329.14285714286,61685.71428571428,2.5463765056224297,True
"Foreign Languages, Literatures, and Linguistics, Other.",25684.0,29150.0,1.1555324370465216,False
Agricultural Engineering.,20973.35714285714,57135.71428571428,2.664398602875346,True
Family and Consumer Sciences/Human Sciences Business Services.,20519.0,36640.0,1.721694763061734,True
"Specialized Sales, Merchandising and  Marketing Operations.",24138.84,35084.0,1.4587403721598542,False
Architectural Sciences and Technology.,24350.333333333332,50600.0,2.361999905696385,True
Audiovisual Communications Technologies/Technicians.,24710.727272727272,23536.363636363636,0.937086145099472,False
Sociology and Anthropology.,25658.666666666668,24400.0,0.940347824379521,False
Business Operations Support and Assistant Services.,28676.0,36350.0,1.4725890887396293,False
Teaching English or French as a Second or Foreign Language.,23552.0,26100.0,1.2235819816740459,False
Applied Horticulture and Horticultural Business Services.,21771.428571428572,36028.57142857143,1.6874558189164832,True
Mathematics and Computer Science.,22863.5,52850.0,2.440860215053763,True
"Biological and Biomedical Sciences, Other.",21283.125,29212.5,1.400095378780175,False
Systems Science and Theory.,20567.333333333332,53766.666666666664,2.474433481864416,True
Environmental Control Technologies/Technicians.,20600.5,45225.0,2.110058986979606,True
"Visual and Performing Arts, Other.",24006.25,28600.0,1.2140450824169164,False
Natural Sciences.,24126.666666666668,31200.0,1.3489017155683822,False
Funeral Service and Mortuary Science.,22624.0,36733.333333333336,1.9785714285714286,True
"Computer and Information Sciences and Support Services, Other.",26259.0,51850.0,1.9432944794426588,True
Drafting/Design Engineering Technologies/Technicians.,25935.0,50475.0,1.9467636669546473,True
"Mathematics and Statistics, Other.",20147.666666666668,49666.666666666664,2.3948680342731805,True
Atmospheric Sciences and Meteorology.,23821.2,30680.0,1.1722043902438095,False
Agricultural Mechanization.,19798.25,52375.0,2.4719375473967853,True
International Agriculture.,26262.0,28400.0,1.066066066066066,False
Computer Systems Analysis.,23708.166666666668,53966.666666666664,2.3831837919646652,True
Curriculum and Instruction.,22574.0,37750.0,1.6752926208876278,True
Quality Control and Safety Technologies/Technicians.,24289.785714285714,54364.28571428572,2.2471013166558853,True
Computer Engineering Technologies/Technicians.,24609.666666666668,59133.333333333336,2.277100935518439,True
Agricultural Public Services.,18600.333333333332,31800.0,1.6861261002038361,True
Civil Engineering Technologies/Technicians.,23975.285714285714,54471.42857142857,2.3512598147277948,True
Culinary Arts and Related Services.,27070.5,23700.0,0.9165059242910888,False
Mining and Petroleum Technologies/Technicians.,28857.0,49200.0,1.892307692307692,True
Naval Architecture and Marine Engineering.,23821.8,78460.0,3.288200760068631,True
"Engineering Technologies/Technicians, Other.",23483.2,54740.0,2.199620756417317,True
Marine Transportation.,24174.0,74875.0,2.9003954586044136,True
Computer Systems Networking and Telecommunications.,25267.444444444445,55000.0,2.1786751041533248,True
"Communications Technologies/Technicians and Support Services, Other.",23800.333333333332,28233.333333333332,1.153646686111893,False
"Building/Construction Finishing, Management, and Inspection.",22750.0,58166.666666666664,2.604818634316097,True
High School/Secondary Diploma Programs.,21372.0,42300.0,1.7235056839017235,True
Biopsychology.,16390.0,40400.0,2.2136986301369856,True
Electromechanical Engineering.,30156.0,63700.0,2.054838709677419,True
"Crafts/Craft Design, Folk Art and Artisanry.",24551.5,21100.0,0.8888851746615409,False
Fishing and Fisheries Sciences and Management.,22285.0,26120.0,1.1573174012409206,False
"Germanic Languages, Literatures, and Linguistics.",21905.0,34200.0,1.5133647689711764,True
Computer Programming.,27279.25,57350.0,2.4304982990982356,True
Medical Illustration and Informatics.,26804.5,39150.0,1.4033138401559455,False
Housing and Human Environments.,23511.0,35950.0,1.4243069707885314,False
Engineering Science.,20196.666666666668,66800.0,3.348379047875335,True
Electromechanical Instrumentation and Maintenance Technologies/Technicians.,24744.0,63800.0,2.495902588274208,True
"Practical Nursing, Vocational Nursing and Nursing Assistants.",23961.0,96800.0,3.9511816808849343,True
Leisure and Recreational Activities.,20218.666666666668,19600.0,1.2190649850477906,False
International and Comparative Education.,11829.0,45400.0,4.555945810336175,True
Textile Sciences and Engineering.,20856.0,42400.0,1.8844444444444444,True
"Philosophy and Religious Studies, Other.",25500.0,21400.0,0.8294573643410853,False
Educational Administration and Supervision.,27153.0,32533.333333333332,1.2010692504567115,False
Agricultural and Food Products Processing.,21707.0,44100.0,1.8765957446808508,True
Forest Engineering.,23435.0,48800.0,2.2181818181818183,True
Legal Research and Advanced Professional Studies.,20128.5,32850.0,1.6298754452335125,True
Materials Sciences.,23655.0,61800.0,2.524602028924143,True
Communications Technology/Technician.,22764.0,27600.0,1.104,False
Polymer/Plastics Engineering.,25127.0,65100.0,2.4111111111111105,True
Health-Related Knowledge and Skills.,22213.0,31400.0,1.2673555053277366,False
Historic Preservation and Conservation.,21022.0,23850.0,1.1298122723451947,False
"Intelligence, Command Control and Information Operations.",22067.0,25700.0,1.0796958366592446,False
"Bilingual, Multilingual, and Multicultural Education.",19919.0,40700.0,1.948114110664369,True
Ocean Engineering.,21268.0,61200.0,2.756260133309313,True
Cultural Studies/Critical Theory and Analysis.,9568.0,19600.0,2.3058823529411763,True
Religious/Sacred Music.,24935.0,27300.0,1.0673234811165846,False
"Physical Sciences, Other.",20820.0,18100.0,0.8231762779698018,False
Engineering Mechanics.,24315.0,62400.0,2.311111111111111,True
Archeology.,19775.0,19700.0,0.9599922031090102,False
"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",21930.0,31000.0,1.1428571428571428,False
Rural Sociology.,18448.0,27600.0,1.3689797133078716,False
Marine Sciences.,18029.0,28200.0,1.633930123413871,True
