INSTNM,CIPDESC,DEBTMEAN,MD_EARN_WNE,BESTVALUE,Good Investment
The University of Alabama,"Multi-/Interdisciplinary Studies, General.",24351,36400,1.3769102738689665,False
The University of Alabama,"Psychology, General.",22398,24700,1.0595856033632192,False
The University of Alabama,Criminal Justice and Corrections.,23526,31800,1.272,False
The University of Alabama,Social Work.,25416,33900,1.3738601823708207,False
The University of Alabama,International Relations and National Security Studies.,20046,25100,1.0795698924731183,False
The University of Alabama,Political Science and Government.,22079,28000,1.2410247318500134,False
The University of Alabama,Design and Applied Arts.,24669,36600,1.4076923076923078,False
The University of Alabama,Drama/Theatre Arts and Stagecraft.,23164,14000,0.56,False
The University of Alabama,Fine and Studio Arts.,21948,28300,1.2237837837837835,False
The University of Alabama,Communication Disorders Sciences and Services.,21551,23900,1.0335135135135136,False
The University of Alabama,Dietetics and Clinical Nutrition Services.,24515,31600,1.1813084112149532,False
The University of Alabama,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",20015,54400,2.901333333333333,True
The University of Alabama,"Health Professions and Related Clinical Sciences, Other.",27257,30500,1.150943396226415,False
The University of Alabama,"Business Administration, Management and Operations.",24333,42400,1.696,True
The University of Alabama,Accounting and Related Services.,21856,51300,2.206451612903226,True
The University of Alabama,Business/Managerial Economics.,20351,53000,2.65,True
The University of Alabama,Finance and Financial Management Services.,20616,49300,2.2930232558139534,True
The University of Alabama,Hospitality Administration/Management.,22877,29800,1.2825478803529158,False
The University of Alabama,Management Information Systems and Services.,23013,67700,2.676947410043496,True
The University of Alabama,Management Sciences and Quantitative Methods.,23286,54100,2.1059597493090427,True
The University of Alabama,Marketing.,21378,46000,1.9166666666666667,True
The University of Alabama,History.,21373,27400,1.2744186046511627,False
Auburn University at Montgomery,Communication and Media Studies.,24482,21600,1.0865737713164647,False
Auburn University at Montgomery,"Teacher Education and Professional Development, Specific Levels and Methods.",27340,35200,1.2588512981904012,False
Auburn University at Montgomery,Health and Physical Education/Fitness.,23769,32100,1.442502134543657,False
Auburn University at Montgomery,"Psychology, General.",30300,23000,0.762043602146975,False
Auburn University at Montgomery,Criminal Justice and Corrections.,26458,42300,1.6588235294117648,True
Auburn University at Montgomery,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",24764,53300,2.3173913043478263,True
Auburn University at Montgomery,"Business Administration, Management and Operations.",30168,29600,1.0033898305084743,False
Auburn University at Montgomery,Finance and Financial Management Services.,27041,39400,1.3024793388429752,False
Auburn University at Montgomery,Management Information Systems and Services.,30716,32800,1.1801532760047495,False
Auburn University,Agricultural Business and Management.,21232,41400,1.9808612440191389,True
Auburn University,Animal Sciences.,21735,36400,1.6930232558139535,True
Auburn University,Plant Sciences.,18833,38500,1.985354785478548,True
Auburn University,Architecture.,25141,48800,1.6827586206896552,True
Auburn University,Communication and Media Studies.,21441,34800,1.74,True
Auburn University,Journalism.,19919,35200,1.7688442211055275,True
Auburn University,"Public Relations, Advertising, and Applied Communication.",19539,34800,1.7509433962264151,True
Auburn University,"Computer and Information Sciences, General.",21192,52800,2.707692307692308,True
Auburn University,Special Education and Teaching.,21918,33900,1.405181347150259,False
Auburn University,"Teacher Education and Professional Development, Specific Levels and Methods.",20271,35900,1.795,True
Auburn University,"Teacher Education and Professional Development, Specific Subject Areas.",21074,33600,1.6312263326536558,True
Auburn University,"Aerospace, Aeronautical and Astronautical Engineering.",18451,60000,3.102699348433137,True
Auburn University,Architectural Engineering.,25793,64800,2.4923076923076923,True
Auburn University,Chemical Engineering.,22524,73100,3.158349535536833,True
Auburn University,Civil Engineering.,23540,55700,2.475555555555556,True
Auburn University,Computer Engineering.,20279,61700,2.774654854521743,True
Auburn University,"Electrical, Electronics and Communications Engineering.",21423,63200,3.114681385836085,True
Auburn University,Mechanical Engineering.,21414,65000,3.20544432389782,True
Auburn University,Industrial Engineering.,22253,62500,2.7777777777777777,True
Auburn University,"Human Development, Family Studies, and Related Services.",23670,29200,1.168,False
Auburn University,Apparel and Textiles.,21317,33500,1.5581395348837208,True
Auburn University,"English Language and Literature, General.",20831,30500,1.4878048780487805,False
Auburn University,"Biology, General.",22276,30000,1.3216441252918631,False
Auburn University,Microbiological Sciences and Immunology.,17735,24300,1.4321919019272706,False
Auburn University,"Multi-/Interdisciplinary Studies, General.",24092,19700,0.8473118279569892,False
Auburn University,"Psychology, General.",22406,24400,1.0947595118449391,False
Auburn University,Public Administration.,19416,34000,1.8143009605122733,True
Auburn University,Social Work.,26748,26300,1.001904761904762,False
Auburn University,Political Science and Government.,18649,31500,1.6153846153846154,True
Auburn University,Sociology.,22900,31000,1.5121951219512195,True
Auburn University,Design and Applied Arts.,25296,34800,1.3257142857142856,False
Auburn University,Fine and Studio Arts.,23893,20400,0.8963486972186827,False
Auburn University,Health and Medical Administrative Services.,23356,43800,1.7519999999999998,True
Auburn University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",21099,55200,2.5674418604651157,True
Auburn University,"Business Administration, Management and Operations.",22314,44300,2.0604651162790697,True
Auburn University,Accounting and Related Services.,19902,48100,2.4484601679816747,True
Auburn University,Finance and Financial Management Services.,21536,42600,2.053012048192771,True
Auburn University,Hospitality Administration/Management.,26318,41700,1.6680000000000001,True
Auburn University,Human Resources Management and Services.,21586,36800,1.6539325842696628,True
Auburn University,International Business.,20355,48800,2.19552796148828,True
Auburn University,Marketing.,18337,39900,2.1714285714285717,True
Auburn University,History.,21793,30900,1.2875,False
Birmingham Southern College,"Business Administration, Management and Operations.",22328,32200,1.2417090853000154,False
Faulkner University,Criminal Justice and Corrections.,25776,31200,1.6640000000000001,True
Faulkner University,"Business Administration, Management and Operations.",25699,39000,1.7931034482758617,True
Huntingdon College,"Teacher Education and Professional Development, Specific Subject Areas.",25795,36200,1.3407407407407408,False
Huntingdon College,Health and Physical Education/Fitness.,25055,22700,0.8730769230769231,False
Huntingdon College,"Business Administration, Management and Operations.",22909,38200,1.6608695652173913,True
Jacksonville State University,Communication and Media Studies.,30861,23900,0.7740890688259109,False
Jacksonville State University,"Computer and Information Sciences, General.",25922,43500,1.6111111111111112,True
Jacksonville State University,"Teacher Education and Professional Development, Specific Levels and Methods.",26036,35100,1.3900990099009902,False
Jacksonville State University,"Family and Consumer Sciences/Human Sciences, General.",31433,24100,0.8607142857142858,False
Jacksonville State University,"English Language and Literature, General.",28836,33300,1.1760550944728942,False
Jacksonville State University,"Liberal Arts and Sciences, General Studies and Humanities.",29007,24800,0.8809946714031972,False
Jacksonville State University,"Biology, General.",22669,22800,1.0604651162790697,False
Jacksonville State University,"Psychology, General.",24041,23500,1.0217391304347827,False
Jacksonville State University,Criminal Justice and Corrections.,26295,27800,1.0692307692307692,False
Jacksonville State University,Social Work.,28797,30000,1.162790697674419,False
Jacksonville State University,"Public Administration and Social Service Professions, Other.",33483,49100,1.4893681560348226,False
Jacksonville State University,Fine and Studio Arts.,31144,23600,0.7212934380635105,False
Jacksonville State University,"Health Services/Allied Health/Health Sciences, General.",25454,22500,0.9079170365587926,False
Jacksonville State University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",18668,55600,3.53015873015873,True
Jacksonville State University,"Business Administration, Management and Operations.",26131,34500,1.38,False
Jacksonville State University,Accounting and Related Services.,22894,33800,1.4695652173913043,False
Jacksonville State University,Finance and Financial Management Services.,25602,32900,1.4084507042253518,False
Jacksonville State University,Marketing.,26685,28200,1.0444444444444445,False
Jacksonville State University,History.,26287,29100,1.1192307692307693,False
University of West Alabama,"Teacher Education and Professional Development, Specific Subject Areas.",25232,33400,1.4847743943098466,False
University of Mobile,"Business Administration, Management and Operations.",29104,36300,1.3081081081081078,False
University of Montevallo,"Radio, Television, and Digital Communication.",28244,21000,0.7924528301886793,False
University of Montevallo,"Teacher Education and Professional Development, Specific Levels and Methods.",26228,34900,1.3423076923076922,False
University of Montevallo,"English Language and Literature, General.",27567,19800,0.8,False
University of Montevallo,Health and Physical Education/Fitness.,24116,29300,1.2788058659217878,False
University of Montevallo,"Psychology, General.",26624,23800,0.9872241579558652,False
University of Montevallo,Social Work.,25197,30100,1.204,False
University of Montevallo,Fine and Studio Arts.,25257,21600,0.8212927756653993,False
University of Montevallo,Accounting and Related Services.,29449,41300,1.5296296296296297,True
University of North Alabama,Communication and Media Studies.,22048,22400,1.041860465116279,False
University of North Alabama,"Teacher Education and Professional Development, Specific Levels and Methods.",24593,35200,1.353846153846154,False
University of North Alabama,"Family and Consumer Sciences/Human Sciences, General.",27821,23100,0.9887852067459978,False
University of North Alabama,"English Language and Literature, General.",26117,26300,0.9786046511627908,False
University of North Alabama,"Biology, General.",25661,28400,1.0518518518518518,False
University of North Alabama,"Multi-/Interdisciplinary Studies, General.",22943,25900,1.2274881516587677,False
University of North Alabama,"Parks, Recreation, Leisure, and Fitness Studies, Other.",21682,24000,1.2307692307692308,False
University of North Alabama,Criminal Justice and Corrections.,25737,29200,1.1138661071905398,False
University of North Alabama,Social Work.,25742,26700,1.0419512195121952,False
University of North Alabama,"Arts, Entertainment,and Media Management.",25340,23400,0.8830188679245283,False
University of North Alabama,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",22417,50900,2.2580072753083136,True
University of North Alabama,"Business Administration, Management and Operations.",24969,30900,1.2662377576527477,False
University of North Alabama,Accounting and Related Services.,19140,37300,1.9435181325552315,True
University of North Alabama,Management Information Systems and Services.,27141,33600,1.2596063730084348,False
University of North Alabama,Marketing.,21034,32700,1.6769230769230767,True
Samford University,Journalism.,21808,32800,1.2615384615384615,False
Samford University,Health and Physical Education/Fitness.,15945,23100,1.4016990291262137,False
Samford University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",23066,53200,2.147152601202728,True
Samford University,Finance and Financial Management Services.,18384,52100,2.5414634146341464,True
University of South Alabama,Communication and Media Studies.,25245,27000,1.1076923076923078,False
University of South Alabama,"Computer and Information Sciences, General.",26262,48100,1.8862745098039213,True
University of South Alabama,Computer Science.,30908,47800,1.6662599783874228,True
University of South Alabama,"Teacher Education and Professional Development, Specific Levels and Methods.",28415,34900,1.2807339449541284,False
University of South Alabama,"Teacher Education and Professional Development, Specific Subject Areas.",25429,29600,1.217505758473182,False
University of South Alabama,Chemical Engineering.,25689,58700,2.3480000000000003,True
University of South Alabama,Civil Engineering.,27575,55200,2.2646153846153845,True
University of South Alabama,"Electrical, Electronics and Communications Engineering.",29563,67200,2.3888237176069107,True
University of South Alabama,Mechanical Engineering.,25161,58900,2.356,True
University of South Alabama,"English Language and Literature, General.",29704,21000,0.7777777777777778,False
University of South Alabama,"Biology, General.",25013,20400,0.816,False
University of South Alabama,"Multi-/Interdisciplinary Studies, General.",31857,29100,0.9781512605042016,False
University of South Alabama,"Parks, Recreation and Leisure Studies.",24355,20400,0.8,False
University of South Alabama,"Psychology, General.",27802,25000,0.9615384615384616,False
University of South Alabama,Criminal Justice and Corrections.,28628,27800,1.0296296296296297,False
University of South Alabama,Social Work.,34687,30100,0.9051270485641256,False
University of South Alabama,Fine and Studio Arts.,32513,22900,0.7387096774193549,False
University of South Alabama,"Allied Health Diagnostic, Intervention, and Treatment Professions.",24520,50800,2.1948585007561032,True
University of South Alabama,Health/Medical Preparatory Programs.,28048,25400,0.9200231816864676,False
University of South Alabama,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",22995,55500,2.581395348837209,True
University of South Alabama,"Business Administration, Management and Operations.",26835,32800,1.21122599704579,False
University of South Alabama,Accounting and Related Services.,31186,35400,1.1949367088607594,False
University of South Alabama,Finance and Financial Management Services.,24331,35900,1.7095238095238094,True
University of South Alabama,Marketing.,23582,34300,1.3719999999999999,False
University of South Alabama,History.,31041,29000,0.9971118140558384,False
Troy University,Communication and Media Studies.,22372,22200,0.9497326203208556,False
Troy University,"Radio, Television, and Digital Communication.",25116,25100,1.004,False
Troy University,"Computer and Information Sciences, General.",27747,45500,1.82,True
Troy University,"Teacher Education and Professional Development, Specific Levels and Methods.",26212,35000,1.3633530694920537,False
Troy University,"Teacher Education and Professional Development, Specific Subject Areas.",25263,37100,1.4777932682732524,False
Troy University,"English Language and Literature, General.",28046,21900,0.8267582770206501,False
Troy University,"Biology, General.",24672,22900,0.9541666666666668,False
Troy University,Mathematics.,25432,30700,1.294812315478701,False
Troy University,Health and Physical Education/Fitness.,25468,25200,1.008,False
Troy University,"Psychology, General.",31099,26800,0.907520910229928,False
Troy University,Criminal Justice and Corrections.,30949,32100,1.0524590163934426,False
Troy University,Social Work.,28857,30100,1.0145611433194013,False
Troy University,"Public Administration and Social Service Professions, Other.",28770,26400,0.9473910859111462,False
Troy University,"Social Sciences, General.",29496,34200,1.103225806451613,False
Troy University,Political Science and Government.,27503,27500,1.0185185185185186,False
Troy University,Sociology.,30607,26500,0.8560814084962042,False
Troy University,Fine and Studio Arts.,27013,19300,0.7681592039800995,False
Troy University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",26392,54400,1.9538124483712245,True
Troy University,"Business/Commerce, General.",30660,37800,1.26,False
Troy University,"Business Administration, Management and Operations.",31547,40400,1.303225806451613,False
Troy University,Accounting and Related Services.,30578,36000,1.28,False
Troy University,History.,22934,32300,1.2919999999999998,False
Tuskegee University,Animal Sciences.,34542,19800,0.5657951135876553,False
Tuskegee University,"Aerospace, Aeronautical and Astronautical Engineering.",28672,48000,1.5609756097560976,True
Tuskegee University,Chemical Engineering.,33234,67200,2.108235294117647,True
Tuskegee University,"Electrical, Electronics and Communications Engineering.",34864,64600,1.7944444444444445,True
Tuskegee University,Mechanical Engineering.,32725,65300,2.0871288394540866,True
Tuskegee University,"Biology, General.",32883,27300,0.8806451612903226,False
Tuskegee University,"Psychology, General.",36050,21700,0.6046083976484355,False
Tuskegee University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",34567,58100,1.6251748251748253,True
Tuskegee University,"Business Administration, Management and Operations.",28527,50100,1.8054054054054052,True
Tuskegee University,"General Sales, Merchandising and Related Marketing Operations.",29413,42700,1.5669724770642202,True
University of Alaska Fairbanks,Mechanical Engineering.,18604,63400,4.226666666666667,True
University of Alaska Fairbanks,"Psychology, General.",22917,26500,1.2325581395348837,False
University of Alaska Fairbanks,Social Work.,25497,28200,1.1938023876047752,False
University of Alaska Fairbanks,"Business Administration, Management and Operations.",21340,33100,1.8348115299334808,True
University of Alaska Fairbanks,Accounting and Related Services.,25237,42900,1.6865196367496167,True
Arizona State University-Tempe,Natural Resources Conservation and Research.,19606,35200,1.7729424801047649,True
Arizona State University-Tempe,Architecture.,23408,35700,1.6135593220338984,True
Arizona State University-Tempe,"City/Urban, Community and Regional Planning.",20030,33200,1.6395061728395062,True
Arizona State University-Tempe,Landscape Architecture.,24830,42300,1.5666666666666669,True
Arizona State University-Tempe,"Ethnic, Cultural Minority, Gender, and Group Studies.",26223,27900,1.0784692694240432,False
Arizona State University-Tempe,Communication and Media Studies.,21391,37700,1.7952380952380953,True
Arizona State University-Tempe,Journalism.,20308,35900,1.6894117647058824,True
Arizona State University-Tempe,Graphic Communications.,25117,34600,1.3840000000000001,False
Arizona State University-Tempe,"Computer and Information Sciences, General.",20707,62700,2.9786223277909736,True
Arizona State University-Tempe,Computer Science.,21475,72700,3.728205128205128,True
Arizona State University-Tempe,Special Education and Teaching.,18766,37900,2.452122153209109,True
