INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
Spartanburg Community College,3.01,0.0,0.0,0.0,0.0,3.9699999999999998,0.0,0.0,0.0,9.030000000000001,0.41000000000000003,2.0500000000000003,0.0,0.0,20.93,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,6.7,0.0,0.27,24.349999999999998,12.590000000000002,0.0
Central Carolina Technical College,0.0,0.8099999999999999,0.0,0.0,0.0,4.72,0.0,0.0,0.0,13.36,0.0,6.68,0.16,0.0,13.52,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2.6100000000000003,6.1899999999999995,0.0,0.0,3.58,5.7,0.0,0.0,29.799999999999997,9.120000000000001,0.0
Sumter Beauty College,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-County Technical College,0.0,0.0,0.0,0.0,1.78,0.9400000000000001,0.0,0.0,0.0,4.29,0.0,0.05,0.0,0.0,48.74,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,8.469999999999999,9.78,0.0,0.9400000000000001,12.920000000000002,6.069999999999999,0.0
Trident Technical College,0.9000000000000001,0.0,0.0,0.0,1.63,8.37,7.64,0.0,0.69,3.2199999999999998,0.0,0.9000000000000001,1.21,0.24,20.330000000000002,0.0,0.0,0.0,0.0,4.43,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,3.73,1.4200000000000002,0.0,1.0,5.57,1.4200000000000002,0.35000000000000003,2.7,21.02,12.97,0.0
Voorhees College,0.0,0.0,0.0,5.949999999999999,0.0,7.140000000000001,0.0,0.0,0.0,0.0,0.0,5.949999999999999,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,16.669999999999998,0.0,0.0,0.0,0.0,0.0,11.9,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,23.810000000000002,0.0
Williamsburg Technical College,0.0,0.0,0.0,0.0,0.0,0.6799999999999999,0.6799999999999999,0.0,0.0,0.6799999999999999,0.0,10.96,0.0,0.0,13.699999999999998,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,15.07,10.96,0.0,0.0,31.509999999999998,9.59,0.0
Winthrop University,0.0,0.7,0.0,6.0600000000000005,0.0,1.29,0.0,16.1,0.0,0.0,0.8,1.9900000000000002,0.0,2.68,0.0,0.0,6.36,1.29,0.0,0.3,8.75,0.4,0.0,2.19,0.0,6.460000000000001,0.0,4.87,7.06,0.0,0.0,0.0,0.0,9.34,1.49,18.89,2.98
Wofford College,0.0,3.95,0.0,0.0,0.0,0.9900000000000001,0.0,0.0,0.0,0.0,9.139999999999999,0.0,0.0,5.680000000000001,2.22,0.0,17.53,2.22,0.0,0.49,0.0,3.2099999999999995,0.0,7.16,0.0,5.93,0.0,0.0,11.6,0.0,0.0,0.0,0.0,2.4699999999999998,0.0,24.69,2.7199999999999998
York Technical College,0.0,0.0,0.0,0.0,0.8200000000000001,3.9800000000000004,0.0,0.0,0.0,5.1499999999999995,0.0,3.75,0.12,0.0,18.15,0.0,0.0,0.0,0.0,7.960000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,2.81,15.690000000000001,5.62,0.0,1.41,20.14,12.65,0.0
Augustana University,0.0,0.0,0.0,3.06,0.0,3.06,0.0,9.47,0.5599999999999999,0.0,5.29,0.0,0.0,1.95,2.5100000000000002,0.0,14.21,3.06,0.0,0.0,4.46,0.27999999999999997,0.0,2.23,0.0,2.79,0.0,0.0,7.8,0.0,0.0,0.0,0.0,3.9,18.94,15.32,1.11
