INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
Alabama A & M University,3.75,1.77,0.0,0.0,4.42,3.53,0.0,11.92,7.51,2.87,0.0,1.9900000000000002,0.0,1.32,6.18,0.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,5.74,5.52,7.51,2.4299999999999997,0.0,0.0,0.0,0.0,2.65,0.0,17.0,0.0
University of Alabama at Birmingham,0.0,0.0,0.21,3.49,0.0,1.41,0.0,6.65,6.98,0.0,0.25,0.0,0.0,1.7399999999999998,1.87,0.0,7.7299999999999995,1.1199999999999999,0.0,0.0,0.0,0.58,0.0,1.7399999999999998,0.0,6.4799999999999995,3.0300000000000002,2.6599999999999997,3.49,0.0,0.0,0.0,0.0,3.61,24.93,20.57,1.4500000000000002
Amridge University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.870000000000001,0.0,0.0,0.0,7.9399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.92,0.0
University of Alabama in Huntsville,0.0,0.0,0.0,2.08,0.0,7.55,0.0,3.4000000000000004,29.18,0.0,1.23,0.0,0.0,1.8900000000000001,0.0,0.0,5.8500000000000005,1.4200000000000002,0.0,0.09,2.55,0.76,0.0,3.1199999999999997,0.0,1.51,0.0,0.0,2.17,0.0,0.0,0.0,0.0,2.46,10.2,23.51,1.04
Alabama State University,0.0,0.0,0.0,9.29,0.0,5.65,0.0,12.25,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,8.48,1.7500000000000002,0.0,0.0,2.42,0.0,0.0,2.69,0.0,6.329999999999999,8.21,5.11,1.08,0.0,0.0,0.0,0.0,5.92,18.3,11.04,0.27
The University of Alabama,0.0,0.33999999999999997,0.31,10.489999999999998,0.0,0.88,0.0,6.6000000000000005,10.94,0.0,0.48,6.03,0.0,1.15,0.0,0.0,3.2099999999999995,0.77,0.0,1.6199999999999999,0.0,0.29,0.0,1.08,0.0,3.4799999999999995,2.45,1.22,3.4299999999999997,0.0,0.0,0.0,0.0,2.74,11.459999999999999,29.98,1.08
Central Alabama Community College,0.0,0.0,0.0,0.0,0.0,0.86,0.5700000000000001,0.0,0.0,6.29,0.0,2.0,0.0,0.0,37.71,0.0,0.0,0.0,0.0,4.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,13.71,0.0,0.0,16.86,14.860000000000001,0.0
Athens State University,0.0,0.0,0.0,0.0,0.0,2.93,0.0,30.61,0.0,0.0,0.0,0.0,0.0,3.7000000000000006,4.21,0.0,3.7000000000000006,1.91,0.0,3.06,1.02,1.15,0.0,0.13,0.0,2.17,2.93,0.0,1.91,0.0,0.0,0.0,0.0,1.28,0.51,37.88,0.89
Auburn University at Montgomery,0.0,0.45999999999999996,0.0,3.52,0.0,5.970000000000001,0.0,8.12,0.0,0.0,0.9199999999999999,0.0,0.0,1.38,0.9199999999999999,0.0,5.510000000000001,0.61,0.0,1.53,5.82,0.0,0.0,1.53,0.0,6.13,5.82,0.0,3.83,0.0,0.0,0.0,0.0,2.76,23.89,20.21,1.0699999999999998
Auburn University,4.390000000000001,1.5699999999999998,0.0,5.46,0.0,0.98,0.0,5.16,18.21,0.0,0.84,3.18,0.0,1.3599999999999999,0.0,0.0,11.91,0.86,0.0,2.55,0.0,0.3,0.0,0.89,0.0,2.73,0.0,1.23,3.18,0.0,0.0,0.0,0.0,3.25,5.91,23.53,0.9299999999999999
Birmingham Southern College,0.0,1.8800000000000001,0.0,3.01,0.0,0.0,0.0,6.77,1.13,0.0,0.75,0.0,0.0,4.89,0.0,0.0,13.91,7.5200000000000005,0.0,0.75,0.0,1.5,0.0,4.14,0.0,10.530000000000001,0.0,0.0,8.27,0.0,0.0,0.0,0.0,6.02,0.0,25.94,3.01
Chattahoochee Valley Community College,0.0,0.0,0.0,0.0,0.0,1.9800000000000002,0.0,0.0,0.0,5.140000000000001,0.0,2.37,0.0,0.0,39.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,0.0,0.0,0.0,1.58,33.989999999999995,4.74,0.0
Concordia College Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,35.620000000000005,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,13.699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,21.92,0.0
South University-Montgomery,0.0,0.0,0.0,0.0,0.0,13.889999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7000000000000006,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11,10.190000000000001,0.0
Enterprise State Community College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,1.29,0.0,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.26,0.0,0.0,0.0,4.84,12.26,0.0
Coastal Alabama Community College,0.8200000000000001,0.0,0.0,0.0,0.8200000000000001,2.3,0.0,0.0,0.0,0.0,0.0,0.16,0.8200000000000001,0.0,58.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900000000000001,0.16,0.0,2.3,25.16,8.219999999999999,0.0
Faulkner University,0.0,0.0,0.0,0.0,0.0,0.73,0.0,4.95,0.0,0.0,0.0,0.0,2.39,0.9199999999999999,1.28,0.0,1.47,0.5499999999999999,0.0,0.18,3.49,0.0,1.47,0.0,0.0,4.95,16.7,0.0,0.9199999999999999,0.0,0.0,0.0,0.0,0.5499999999999999,1.1,58.35,0.0
Gadsden State Community College,0.69,0.0,0.0,0.15,0.0,1.68,4.21,0.0,0.0,13.71,0.0,2.53,2.07,0.0,18.529999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,23.2,6.58,0.0,0.0,19.220000000000002,5.9,0.0
New Beginning College of Cosmetology,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George C Wallace Community College-Dothan,0.0,0.0,0.0,0.0,0.0,1.55,4.66,0.0,0.0,8.39,0.0,4.5600000000000005,0.0,0.0,22.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.97,0.0,0.0,3.11,3.01,8.91,0.0,0.0,38.03,3.11,0.0
George C Wallace State Community College-Hanceville,0.13999999999999999,0.0,0.0,0.0,0.0,1.9300000000000002,1.03,0.0,0.0,8.94,0.0,2.41,0.62,0.0,14.44,0.0,0.0,0.0,0.0,7.430000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.6500000000000001,0.0,0.0,0.06999999999999999,13.0,8.870000000000001,0.76,0.21,35.97,2.54,0.0
George C Wallace State Community College-Selma,0.0,0.0,0.0,0.0,0.0,0.48,4.5600000000000005,0.0,0.0,1.92,0.0,0.0,0.0,0.0,37.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.07,3.84,10.07,0.0,0.0,18.709999999999997,6.47,0.0
Herzing University-Birmingham,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,1.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.62,2.73,0.0
Huntingdon College,0.0,0.0,0.0,4.5,0.0,0.0,0.0,8.36,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,8.68,1.6099999999999999,0.0,0.0,12.86,1.29,1.6099999999999999,3.8600000000000003,0.0,3.54,2.5700000000000003,0.0,0.32,0.0,0.0,0.0,0.0,1.6099999999999999,0.32,45.34,1.29
Heritage Christian University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. F. Drake State Community and Technical College,0.0,0.0,0.0,0.0,0.0,8.1,19.03,0.0,0.0,24.29,0.0,0.0,0.0,0.0,1.6199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,2.02,15.790000000000001,0.0,0.0,22.67,4.45,0.0
J F Ingram State Technical College,3.1199999999999997,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,26.729999999999997,24.69,0.0,0.0,0.0,5.29,0.0
Jacksonville State University,0.0,0.0,0.0,3.92,0.0,2.07,0.0,7.6899999999999995,0.0,2.6599999999999997,0.06999999999999999,3.62,0.0,2.5100000000000002,5.33,0.0,4.14,1.18,0.0,0.0,0.67,0.0,0.0,0.52,0.0,4.29,5.4,6.950000000000001,3.11,0.0,0.0,0.0,0.0,3.3300000000000005,25.44,15.24,1.8499999999999999
Jefferson Davis Community College,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,0.0,8.33,0.0,0.36,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,15.58,0.0,0.0,24.64,1.4500000000000002,0.0
Jefferson State Community College,0.0,0.0,0.0,0.0,0.0,5.2,7.7299999999999995,0.0,0.0,5.89,0.0,5.36,0.0,0.0,25.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.24,19.36,0.0
John C Calhoun State Community College,3.2199999999999998,0.0,0.0,0.0,0.0,2.4699999999999998,0.89,0.0,0.0,17.53,0.0,0.5499999999999999,0.0,0.0,43.419999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,1.71,0.0,1.51,20.41,5.62,0.0
Judson College,10.71,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,8.93,0.0,0.0,1.79,0.0,1.79,0.0,3.5700000000000003,0.0,8.93,3.5700000000000003,1.79,0.0,0.0,0.0,0.0,0.0,12.5,37.5,1.79,0.0
Lawson State Community College,0.0,0.0,0.0,0.0,0.88,4.2,4.55,0.0,0.0,16.99,0.0,1.58,0.0,0.0,25.040000000000003,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.18,0.18,2.63,11.73,7.359999999999999,0.0,2.45,12.08,6.83,0.0
University of West Alabama,0.0,0.0,0.0,4.5,0.0,0.0,0.0,9.65,0.0,3.8600000000000003,0.0,0.0,0.0,0.96,0.0,0.0,5.79,1.9300000000000002,0.0,14.790000000000001,8.68,0.0,0.0,1.6099999999999999,0.0,3.8600000000000003,0.0,0.0,0.96,0.0,2.25,0.0,0.0,0.0,15.76,23.79,1.6099999999999999
Lurleen B Wallace Community College,0.0,1.3599999999999999,0.0,0.0,0.0,3.11,5.06,0.0,0.0,1.7500000000000002,0.0,3.11,0.0,0.0,30.930000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53,15.18,0.0,0.0,28.21,1.7500000000000002,0.0
Marion Military Institute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles College,0.0,0.0,0.0,8.07,0.0,4.4799999999999995,0.0,2.69,0.0,0.0,0.0,3.1399999999999997,0.0,1.79,0.0,0.0,12.559999999999999,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.869999999999997,10.76,2.69,0.0,0.0,0.0,0.0,0.0,0.0,27.800000000000004,1.35
University of Mobile,0.0,0.0,0.0,5.19,0.0,2.59,0.0,10.0,0.0,0.0,0.0,1.11,0.0,1.48,7.04,0.0,3.3300000000000005,2.22,0.0,1.48,7.41,3.3300000000000005,7.41,0.0,0.0,3.7000000000000006,0.0,0.0,3.3300000000000005,0.0,0.0,0.0,0.0,3.3300000000000005,14.069999999999999,21.11,1.8499999999999999
University of Montevallo,0.0,0.0,0.0,3.92,0.0,0.0,0.0,9.610000000000001,0.0,0.0,0.98,4.31,0.0,6.859999999999999,0.0,0.0,4.51,2.55,0.0,0.0,10.39,0.0,0.0,1.96,0.0,5.29,0.0,3.73,5.6899999999999995,0.0,0.0,0.0,0.0,15.690000000000001,7.6499999999999995,12.55,4.31
Northwest-Shoals Community College,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,4.71,0.0,0.0,5.94,0.0,1.5699999999999998,0.0,0.0,31.5,0.0,0.0,0.0,0.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,1.1199999999999999,0.0,0.0,2.4699999999999998,5.04,16.59,0.0,0.0,20.74,2.8,0.0
University of North Alabama,0.0,0.0,0.0,6.54,0.0,1.29,1.29,10.32,0.0,0.0,1.11,2.21,0.0,2.03,0.0,0.0,3.8699999999999997,0.45999999999999996,0.0,3.04,6.36,0.0,0.0,2.21,0.0,2.76,3.2300000000000004,4.61,5.16,0.0,0.0,0.0,0.0,6.18,14.29,21.57,1.47
Northeast Alabama Community College,0.0,0.0,0.0,0.0,0.0,1.37,3.66,0.0,0.0,6.97,0.0,6.17,0.0,0.0,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8899999999999997,0.0,0.0,0.0,15.2,15.540000000000001,0.0,0.0,19.89,2.63,0.0
Oakwood University,0.0,0.0,0.0,3.02,0.0,0.8200000000000001,0.0,3.3000000000000003,0.0,0.0,1.6500000000000001,1.6500000000000001,0.0,0.5499999999999999,13.459999999999999,0.0,13.459999999999999,1.92,0.0,0.0,0.0,0.0,6.04,0.5499999999999999,0.0,7.140000000000001,0.0,6.87,3.02,0.0,0.0,0.0,0.0,2.4699999999999998,19.78,13.459999999999999,0.8200000000000001
Alabama Southern Community College,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,31.490000000000002,0.0,0.0,0.0,0.0,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46,7.2700000000000005,0.0
Reid State Technical College,0.0,0.0,0.0,0.0,0.0,0.6,11.379999999999999,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38,10.780000000000001,8.98,0.0,53.89000000000001,3.5900000000000003,0.0
Bishop State Community College,0.0,0.0,0.0,0.0,0.97,1.6099999999999999,5.48,0.0,0.0,5.81,0.0,6.29,0.0,0.0,12.740000000000002,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.58,15.97,22.1,0.0,17.26,1.29,0.0
Samford University,0.0,0.0,0.0,6.74,0.0,0.83,0.0,6.03,0.95,0.0,0.47000000000000003,4.96,2.8400000000000003,2.7199999999999998,0.24,0.0,3.19,0.47000000000000003,0.0,0.12,4.26,1.06,0.35000000000000003,0.35000000000000003,0.0,2.36,0.0,0.47000000000000003,3.4299999999999997,0.0,0.0,0.0,0.0,6.5,31.319999999999997,18.790000000000003,1.54
Selma University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.090000000000003,21.740000000000002,0.0
Shelton State Community College,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,2.68,0.0,2.82,0.0,0.0,25.14,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510000000000001,18.08,3.6700000000000004,0.0,0.0,23.45,11.86,0.0
Snead State Community College,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,70.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,11.23,9.120000000000001,0.0
University of South Alabama,0.0,0.0,0.0,4.31,0.0,3.2,0.0,10.9,9.69,0.0,0.6,0.0,0.0,1.44,0.0,0.0,6.77,0.65,0.0,5.57,2.23,0.19,0.0,1.58,0.0,3.01,2.6,1.6199999999999999,2.64,0.0,0.0,0.0,0.0,2.23,28.48,11.6,0.7
Spring Hill College,0.0,0.0,0.0,8.07,0.0,0.0,0.0,14.35,0.9000000000000001,0.0,0.44999999999999996,0.0,0.0,4.4799999999999995,4.4799999999999995,0.0,8.52,2.2399999999999998,0.0,0.44999999999999996,0.0,2.69,0.0,2.2399999999999998,0.0,12.559999999999999,0.0,0.0,5.83,0.0,0.0,0.0,0.0,3.5900000000000003,8.97,19.28,0.9000000000000001
Stillman College,0.0,0.0,0.0,4.81,0.0,0.0,0.0,8.649999999999999,0.0,0.0,0.0,0.0,0.0,2.88,6.7299999999999995,0.0,24.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,21.15,10.58
Talladega College,0.0,0.0,0.0,3.88,0.0,9.71,0.0,0.97,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,8.74,1.94,0.0,0.0,0.0,0.0,0.0,1.94,0.0,10.68,7.7700000000000005,11.65,8.74,0.0,0.0,0.0,0.0,7.7700000000000005,0.0,23.3,0.97
H Councill Trenholm State Community College,0.0,0.0,0.0,0.0,2.16,5.93,7.55,0.0,0.0,5.93,0.0,3.7699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.58,7.01,19.41,0.0,38.01,4.58,0.0
Troy University,0.0,0.16,0.0,3.74,0.0,4.54,0.0,7.07,0.0,0.27999999999999997,0.48,0.0,0.0,1.0,7.76,0.0,3.5000000000000004,0.84,0.0,1.8900000000000001,4.7,0.0,0.0,0.48,0.0,11.98,11.17,5.949999999999999,6.59,0.0,0.0,0.0,0.0,1.4500000000000002,8.44,16.76,1.21
Tuskegee University,14.35,1.1,0.0,1.55,0.0,2.87,0.0,4.19,19.650000000000002,0.0,0.0,3.75,0.0,1.1,0.0,0.0,9.27,0.22,0.0,0.0,0.0,0.0,0.0,1.55,0.0,10.82,0.0,1.32,3.53,0.0,0.0,0.0,0.0,0.0,6.619999999999999,13.469999999999999,0.44
United States Sports Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bevill State Community College,0.0,0.0,0.0,0.0,0.0,3.32,1.47,0.0,0.0,5.28,0.0,0.49,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,6.63,11.06,14.62,0.0,30.470000000000002,3.93,0.0
University of Alaska Anchorage,0.0,0.42,0.19,0.88,0.0,2.23,0.7,2.79,4.97,5.390000000000001,0.7,0.65,0.84,1.58,13.01,0.0,1.9,0.33,0.0,2.79,0.6,0.33,0.0,0.98,1.0699999999999998,2.88,2.83,1.53,3.44,0.0,2.97,1.81,2.0,1.72,21.5,15.28,1.72
Alaska Bible College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Alaska Fairbanks,0.0,2.21,0.25,1.15,0.0,2.7,2.9499999999999997,3.11,9.0,4.91,1.8800000000000001,0.5700000000000001,0.49,1.31,6.3,0.0,4.42,0.74,0.0,4.26,0.0,0.0,0.0,1.47,0.0,2.21,8.51,3.52,2.21,1.8800000000000001,5.319999999999999,0.74,0.33,2.21,13.58,11.29,0.49
University of Alaska Southeast,0.0,7.24,0.88,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,1.54,22.15,0.0,3.95,0.88,0.0,6.140000000000001,1.1,0.0,0.0,0.0,0.0,0.0,0.22,0.0,3.51,0.88,2.19,1.7500000000000002,0.0,0.0,22.81,21.93,0.0
Alaska Pacific University,0.0,4.62,1.54,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,1.54,21.54,0.0,10.77,0.0,0.0,9.229999999999999,16.919999999999998,0.0,0.0,1.54,0.0,9.229999999999999,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
AVTEC-Alaska's Institute of Technology,0.0,0.0,0.0,0.0,0.0,5.74,8.2,0.0,0.0,20.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,31.97,9.84,2.87,0.0,0.0,10.66,0.0
Charter College,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.6799999999999999,6.58,5.33,0.06,0.0,74.32,9.120000000000001,0.0
Alaska Career College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,76.53,18.65,0.0
Empire Beauty School-Tucson,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thunderbird School of Global Management,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Institute of Trucking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Carrington College-Phoenix North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.03999999999999,0.0,0.0
Carrington College-Mesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,0.0
Carrington College-Tucson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.84,0.0,0.0
CollegeAmerica-Flagstaff,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.87,3.2300000000000004,0.0
Arizona Academy of Beauty-East,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platt College-Arizona Automotive Institute Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27,52.73,0.0,0.0,0.0,0.0,0.0
Brookline College-Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.89,3.6700000000000004,0.0
Arizona State University-Tempe,0.0,1.1400000000000001,0.5499999999999999,3.9,0.0,4.5600000000000005,0.0,4.21,11.020000000000001,0.31,0.88,1.92,1.04,1.81,0.02,0.0,7.779999999999999,1.44,0.0,6.32,0.12,0.67,0.0,1.1900000000000002,0.0,4.16,0.0,0.0,9.51,0.0,0.0,0.0,0.0,6.460000000000001,1.25,27.47,0.9900000000000001
